time_s,AorticArchII,ThoracicAortaII,LSubclavianI,RIliacFemoralII,LUlnar,RAnteriorTibial,RUlnar,Splenic
3.30000000e-02,1.64361116e-14,0.00000000e+00,0.00000000e+00,0.00000000e+00,5.05701339e-02,6.43173471e-02,6.66799449e-02,1.38833469e-02
3.40000000e-02,1.80797228e-13,0.00000000e+00,0.00000000e+00,0.00000000e+00,5.03472206e-02,6.48729916e-02,6.70060404e-02,3.15413137e-02
3.50000000e-02,1.78824894e-11,0.00000000e+00,0.00000000e+00,0.00000000e+00,5.10709401e-02,6.54165512e-02,6.73331332e-02,4.28866396e-02
3.60000000e-02,1.32378087e-09,0.00000000e+00,0.00000000e+00,0.00000000e+00,5.15225468e-02,6.60248947e-02,6.76592998e-02,4.55396710e-02
3.70000000e-02,7.59986160e-08,0.00000000e+00,0.00000000e+00,0.00000000e+00,5.17418752e-02,6.66275583e-02,6.79844815e-02,4.41934814e-02
3.80000000e-02,3.19433768e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,5.19869142e-02,6.72181726e-02,6.83079697e-02,4.32389027e-02
3.90000000e-02,9.15001938e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,5.22737625e-02,6.78056764e-02,6.86304675e-02,4.35122298e-02
4.00000000e-02,1.59125310e-03,0.00000000e+00,0.00000000e+00,0.00000000e+00,5.25574691e-02,6.83896423e-02,6.89521311e-02,4.41167640e-02
4.10000000e-02,1.35715176e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00,5.28335979e-02,6.89706564e-02,6.92721435e-02,4.45122111e-02
4.20000000e-02,4.00957750e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00,5.31088892e-02,6.95483476e-02,6.95912477e-02,4.47612929e-02
4.30000000e-02,4.69868433e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00,5.33838432e-02,7.01215211e-02,6.99094023e-02,4.50162943e-02
4.40000000e-02,6.02562193e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00,5.36579771e-02,7.06915184e-02,7.02260087e-02,4.53033382e-02
4.50000000e-02,7.51321438e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00,5.39313606e-02,7.12587281e-02,7.05417636e-02,4.55952531e-02
4.60000000e-02,9.21502599e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00,5.42035522e-02,7.18217697e-02,7.08564758e-02,4.58808899e-02
4.70000000e-02,1.10827752e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,5.44746174e-02,7.23812599e-02,7.11697504e-02,4.61634555e-02
4.80000000e-02,1.31483693e-01,-8.80032796e-15,0.00000000e+00,0.00000000e+00,5.47450538e-02,7.29381115e-02,7.14821802e-02,4.64453715e-02
4.90000000e-02,1.53824262e-01,-4.40016398e-14,0.00000000e+00,0.00000000e+00,5.50146510e-02,7.34913242e-02,7.17935303e-02,4.67264293e-02
5.00000000e-02,1.77807582e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,5.52830284e-02,7.40407662e-02,7.21035358e-02,4.70065199e-02
5.10000000e-02,2.03264494e-01,3.52013118e-14,0.00000000e+00,0.00000000e+00,5.55505171e-02,7.45874822e-02,7.24126885e-02,4.72857712e-02
5.20000000e-02,2.30029158e-01,-7.92029516e-14,0.00000000e+00,0.00000000e+00,5.58173623e-02,7.51310542e-02,7.27207155e-02,4.75638817e-02
5.30000000e-02,2.57910152e-01,1.76006559e-13,0.00000000e+00,0.00000000e+00,5.60831931e-02,7.56708794e-02,7.30275952e-02,4.78406707e-02
5.40000000e-02,2.86699317e-01,-2.11207871e-13,0.00000000e+00,0.00000000e+00,5.63479258e-02,7.62077710e-02,7.33333003e-02,4.81164851e-02
5.50000000e-02,3.16176128e-01,-5.28019678e-14,0.00000000e+00,0.00000000e+00,5.66119353e-02,7.67418508e-02,7.36384866e-02,4.83915423e-02
5.60000000e-02,3.46112583e-01,8.80032796e-13,0.00000000e+00,0.00000000e+00,5.68751820e-02,7.72724039e-02,7.39417706e-02,4.86655396e-02
5.70000000e-02,3.76284795e-01,-2.13847969e-12,0.00000000e+00,0.00000000e+00,5.71373517e-02,7.77998539e-02,7.42440932e-02,4.89382705e-02
5.80000000e-02,4.06514481e-01,2.19128166e-12,0.00000000e+00,0.00000000e+00,5.73985965e-02,7.83245530e-02,7.45484982e-02,4.92100155e-02
5.90000000e-02,4.36746326e-01,1.94487248e-12,-2.46877485e-13,0.00000000e+00,5.76591653e-02,7.88461896e-02,7.48424705e-02,4.94809925e-02
6.00000000e-02,4.66865859e-01,-1.16252332e-11,1.63997187e-12,0.00000000e+00,5.79188373e-02,7.93645195e-02,7.51492075e-02,4.97509691e-02
