time_s,AorticArchII,ThoracicAortaII,LSubclavianI,RIliacFemoralII,LUlnar,RAnteriorTibial,RUlnar,Splenic
3.20000000e-02,-4.26424842e-13,6.46332575e-14,1.00789986e-15,-4.98039113e-14,-8.67550659e-02,-5.03435659e-02,-9.57858996e-02,-1.39105609e-04
3.30000000e-02,8.01238833e-13,-3.57840799e-13,-4.21009796e-15,-4.94164436e-14,-8.26824008e-02,-5.06534931e-02,-9.57403785e-02,-2.31530458e-02
3.40000000e-02,1.79364944e-11,-3.10942066e-13,-4.21636121e-16,-4.89236202e-14,-8.18111700e-02,-5.05886006e-02,-9.56782211e-02,-5.23770398e-02
3.50000000e-02,1.67244731e-09,-2.95338066e-13,-7.79431709e-16,-4.89916698e-14,-8.25247826e-02,-5.05111047e-02,-9.56246654e-02,-7.08892144e-02
3.60000000e-02,1.23791104e-07,3.08691302e-13,-6.24555043e-16,-4.92359551e-14,-8.27882326e-02,-5.04953958e-02,-9.55708452e-02,-7.48080106e-02
3.70000000e-02,7.10691603e-06,3.84552024e-13,-2.34129653e-15,-4.87464302e-14,-8.26611096e-02,-5.04804424e-02,-9.55136616e-02,-7.20491332e-02
3.80000000e-02,2.98713409e-04,-3.02376836e-13,1.51795538e-15,-4.83937207e-14,-8.25748135e-02,-5.04527523e-02,-9.54605122e-02,-6.99592935e-02
3.90000000e-02,8.55647200e-03,7.51276182e-13,1.31330328e-15,-4.80540860e-14,-8.25649931e-02,-5.04267062e-02,-9.54060381e-02,-6.99239843e-02
4.00000000e-02,1.48809237e-01,-2.81317239e-13,-2.56848430e-15,-4.76318220e-14,-8.25534220e-02,-5.04047187e-02,-9.53497984e-02,-7.04454799e-02
4.10000000e-02,1.26964776e+00,4.44592467e-13,-1.31648115e-15,-4.77684587e-14,-8.25255716e-02,-5.03792788e-02,-9.52969538e-02,-7.06220466e-02
4.20000000e-02,3.75413995e+00,4.67447451e-13,-3.27783780e-15,-4.76910708e-14,-8.24981543e-02,-5.03527432e-02,-9.52423519e-02,-7.05521111e-02
4.30000000e-02,4.39975423e+00,1.03102638e-13,5.43546633e-16,-4.74634148e-14,-8.24763542e-02,-5.03294299e-02,-9.51869365e-02,-7.04895342e-02
4.40000000e-02,5.64428452e+00,8.46881417e-13,1.29503608e-15,-4.70327719e-14,-8.24527293e-02,-5.03045524e-02,-9.51342684e-02,-7.04853870e-02
4.50000000e-02,7.04066721e+00,2.50440354e-13,-1.82053205e-15,-4.65521487e-14,-8.24260261e-02,-5.02774847e-02,-9.50796973e-02,-7.04953270e-02
4.60000000e-02,8.63973319e+00,4.60477497e-13,-1.30478448e-19,9.67385815e-16,-8.24020070e-02,-5.02528621e-02,-9.50250303e-02,-7.04937121e-02
4.70000000e-02,1.03966433e+01,5.78924629e-13,-2.16502133e-15,3.40339005e-14,-8.23794930e-02,-5.02282776e-02,-9.49724468e-02,-7.04846679e-02
4.80000000e-02,1.23420628e+01,-3.29182085e-13,2.01698034e-15,3.38857779e-14,-8.23540184e-02,-5.02011961e-02,-9.49181390e-02,-7.04784523e-02
4.90000000e-02,1.44489561e+01,-3.08309697e-12,3.30711767e-15,3.28952925e-14,-8.23281875e-02,-5.01752425e-02,-9.48640335e-02,-7.04761526e-02
5.00000000e-02,1.67140498e+01,3.20477297e-13,3.52598434e-15,3.41019230e-14,-8.23050943e-02,-5.01505105e-02,-9.48115361e-02,-7.04719992e-02
5.10000000e-02,1.91220153e+01,2.27723867e-12,2.51820557e-15,3.38406949e-14,-8.22813325e-02,-5.01237505e-02,-9.47575590e-02,-7.04645872e-02
5.20000000e-02,2.16578032e+01,-5.45801020e-12,2.53763899e-15,3.35413775e-14,-8.22552900e-02,-5.00968109e-02,-9.47039868e-02,-7.04584008e-02
5.30000000e-02,2.43038358e+01,1.34185732e-11,-4.36984430e-15,3.25783436e-14,-8.22305861e-02,-5.00714792e-02,-9.46514685e-02,-7.04548530e-02
5.40000000e-02,2.70408447e+01,-1.57849410e-11,-3.16072543e-15,3.27144312e-14,-8.22074329e-02,-5.00450643e-02,-9.45981723e-02,-7.04500443e-02
5.50000000e-02,2.98482455e+01,-3.94696263e-12,-4.12397726e-16,3.32682652e-14,-8.21825011e-02,-5.00175963e-02,-9.45444519e-02,-7.04425305e-02
5.60000000e-02,3.27044799e+01,6.57500770e-11,7.63094165e-15,3.21987082e-14,-8.21567404e-02,-4.99914417e-02,-9.44927301e-02,-7.04357813e-02
5.70000000e-02,3.55869537e+01,-1.58781168e-10,5.58487905e-14,3.17359772e-14,-8.21328243e-02,-4.99651518e-02,-9.44400958e-02,-7.04312797e-02
5.80000000e-02,3.84691080e+01,1.63969790e-10,3.64767101e-14,3.19480239e-14,-8.21089867e-02,-4.99375888e-02,-9.43831787e-02,-7.04259428e-02
5.90000000e-02,4.13141617e+01,1.45374786e-10,-2.37526504e-12,3.21062483e-14,-8.20834172e-02,-4.99105483e-02,-9.43409856e-02,-7.04182658e-02
6.00000000e-02,4.40930061e+01,-8.67218038e-10,1.55298971e-11,3.10763798e-14,-8.20583434e-02,-4.98841382e-02,-9.42772853e-02,-7.04109833e-02
6.10000000e-02,4.68303637e+01,1.38677264e-09,-6.48166536e-11,3.23828023e-14,-8.20346256e-02,-4.98568646e-02,-9.42131177e-02,-7.04056105e-02
6.20000000e-02,4.95242449e+01,-4.59932520e-11,1.71919104e-10,3.20158204e-14,-8.20099347e-02,-4.98285827e-02,-9.42334105e-02,-7.03997369e-02
6.30000000e-02,5.21081770e+01,-4.27335917e-09,-1.72664034e-10,3.15200051e-14,-8.19843771e-02,-4.98024863e-02,-9.40722383e-02,-7.03918644e-02
6.40000000e-02,5.46118104e+01,7.94286970e-09,-7.45529327e-10,3.23881456e-14,-8.19598934e-02,-4.97759350e-02,-9.39538721e-02,-7.03841153e-02
6.50000000e-02,5.70275693e+01,-6.06752417e-10,4.05398273e-09,3.14859508e-14,-8.19357256e-02,-4.97436115e-02,-9.44992435e-02,-7.03779616e-02
6.60000000e-02,5.93012064e+01,-2.29609444e-08,-8.47593852e-09,2.99837672e-14,-8.19107715e-02,-4.97217836e-02,-9.41724544e-02,-7.03715514e-02
6.70000000e-02,6.14259166e+01,3.65364025e-08,1.27699199e-09,3.13389959e-14,-8.18853549e-02,-4.96997084e-02,-9.32478956e-02,-7.03634483e-02
6.80000000e-02,6.34454579e+01,1.56201563e-08,3.96024085e-08,3.07214878e-14,-8.18605712e-02,-4.96438244e-02,-9.98623124e-02,-7.03552641e-02
6.90000000e-02,6.53367993e+01,-1.26059824e-07,-9.15207181e-08,3.07223765e-14,-8.18375644e-02,-4.96369854e-02,-1.19111530e-01,-7.03484095e-02
7.00000000e-02,6.71004109e+01,1.07869877e-07,4.64335113e-09,3.06198771e-14,-8.18114949e-02,-4.96774661e-02,-1.39895108e-01,-7.03414757e-02
7.10000000e-02,6.87508472e+01,2.34913839e-07,3.49987265e-07,2.87247305e-14,-8.17827518e-02,-4.95016518e-02,-1.47882276e-01,-7.03330832e-02
7.20000000e-02,7.02906112e+01,-5.36561041e-07,-4.96956491e-07,2.92963149e-14,-8.17656473e-02,-4.93252712e-02,-1.44619534e-01,-7.03245202e-02
7.30000000e-02,7.17522156e+01,-1.55664048e-07,-6.29317550e-07,3.01774683e-14,-8.17440638e-02,-4.97573496e-02,-1.41082735e-01,-7.03170850e-02
7.40000000e-02,7.32175277e+01,1.57955842e-06,2.22126060e-06,3.05269713e-14,-8.16936421e-02,-4.96646838e-02,-1.41335061e-01,-7.03095174e-02
7.50000000e-02,7.48325537e+01,-7.07954747e-07,2.49666217e-07,2.98188163e-14,-8.16811586e-02,-4.64691337e-02,-1.42389739e-01,-7.03008124e-02
7.60000000e-02,7.65879846e+01,-3.73906380e-06,-6.75450126e-06,3.00293295e-14,-8.17218740e-02,-4.09548617e-02,-1.42432178e-01,-7.02922270e-02
7.70000000e-02,7.81288504e+01,3.77650296e-06,2.21917529e-06,2.83322300e-14,-8.16244351e-02,-3.85952870e-02,-1.42185126e-01,-7.02839852e-02
7.80000000e-02,7.94028473e+01,8.07704311e-06,1.79985886e-05,2.75351593e-14,-8.14420086e-02,-4.28513043e-02,-1.42185391e-01,-7.02751784e-02
