time_s,AorticArchI,ThoAortaIII,AbdomAortaV,RightCCA,RightRenal,RightCommonIliac,RightICA,RightRadial,RightInternalIliac,RightPostInteross,RightFemoralII,RightAntTibial
2.30000000e-02,9.81248360e+00,1.01584605e+01,1.00313710e+01,9.94870473e+00,9.90055739e+00,1.00753350e+01,1.00347584e+01,1.00424132e+01,9.85008850e+00,9.89581912e+00,1.00035484e+01,9.99931623e+00
2.40000000e-02,9.79461130e+00,1.01617746e+01,1.00447972e+01,9.95164658e+00,9.90020881e+00,1.00717483e+01,1.00262309e+01,1.00582133e+01,9.88715052e+00,9.89054773e+00,1.00112677e+01,1.00009767e+01
2.50000000e-02,9.81289102e+00,1.01702715e+01,1.01118482e+01,1.00085776e+01,9.90885198e+00,1.00715388e+01,1.00117966e+01,1.00629025e+01,9.88374198e+00,9.89390605e+00,1.00114118e+01,1.00025614e+01
2.60000000e-02,9.82743921e+00,1.01784860e+01,1.01196430e+01,1.00330750e+01,9.87642832e+00,1.00659045e+01,1.00022522e+01,1.00563752e+01,9.88107481e+00,9.89463957e+00,9.99656864e+00,1.00020641e+01
2.70000000e-02,9.86017102e+00,1.01568385e+01,1.01112468e+01,1.00310157e+01,9.85173440e+00,1.00645693e+01,9.99039149e+00,1.00424291e+01,9.87531313e+00,9.88731077e+00,9.96652058e+00,9.99844942e+00
2.80000000e-02,9.85760227e+00,1.01450181e+01,1.01082850e+01,1.00342780e+01,9.85204114e+00,1.00571680e+01,9.96105149e+00,1.00253983e+01,9.86732019e+00,9.87366293e+00,9.92942530e+00,9.99251699e+00
2.90000000e-02,9.82972970e+00,1.01563526e+01,1.01078175e+01,1.00608045e+01,9.85021843e+00,1.00564712e+01,9.99895727e+00,1.00079048e+01,9.86472482e+00,9.85669941e+00,9.89762533e+00,9.98630275e+00
3.00000000e-02,9.83362880e+00,1.01699059e+01,1.01068214e+01,1.01439322e+01,9.84939634e+00,1.00855255e+01,1.00897814e+01,9.99064639e+00,9.86282136e+00,9.83896514e+00,9.88106453e+00,9.98157485e+00
3.10000000e-02,9.83400624e+00,1.01634210e+01,1.01060642e+01,1.01748324e+01,9.85454358e+00,1.00831318e+01,1.01330795e+01,9.97334554e+00,9.86105865e+00,9.82194029e+00,9.88258976e+00,9.97861139e+00
3.20000000e-02,9.81844121e+00,1.01145242e+01,1.01046982e+01,1.01808076e+01,9.85734740e+00,1.00838919e+01,1.00961086e+01,9.95575893e+00,9.86093651e+00,9.80596998e+00,9.89775943e+00,9.97616129e+00
3.30000000e-02,9.79943968e+00,1.00862779e+01,1.01010951e+01,1.02163482e+01,9.85154193e+00,1.00915859e+01,1.00064089e+01,9.93816144e+00,9.89662944e+00,9.79156494e+00,9.91846520e+00,9.97249167e+00
3.40000000e-02,9.80669331e+00,1.00820450e+01,1.00978274e+01,1.02013767e+01,9.84978461e+00,1.00802251e+01,9.94770944e+00,9.92117605e+00,9.90768482e+00,9.77881583e+00,9.93738299e+00,9.96645502e+00
3.50000000e-02,9.83775353e+00,1.00592428e+01,1.00922784e+01,1.01926066e+01,9.84749615e+00,1.00737072e+01,9.95659487e+00,9.90526124e+00,9.89931321e+00,9.76643721e+00,9.95069387e+00,9.95776628e+00
3.60000000e-02,9.86163547e+00,1.00495109e+01,1.00854269e+01,1.01774274e+01,9.84484071e+00,1.00701449e+01,9.98922698e+00,9.89037295e+00,9.90762104e+00,9.75326379e+00,9.95827477e+00,9.94683970e+00
3.70000000e-02,9.87895085e+00,1.00594092e+01,1.00809441e+01,1.01206895e+01,9.83881053e+00,1.01224686e+01,1.00215481e+01,9.87604871e+00,9.92344304e+00,9.73919769e+00,9.96200383e+00,9.93466422e+00
3.80000000e-02,9.90439054e+00,1.00648805e+01,1.00746657e+01,1.00640263e+01,9.83053708e+00,1.01531450e+01,1.00245294e+01,9.86174855e+00,9.91630055e+00,9.72431824e+00,9.96381975e+00,9.92243044e+00
3.90000000e-02,9.92868902e+00,1.00190235e+01,1.00731529e+01,1.00560116e+01,9.83672884e+00,1.01404538e+01,1.00412923e+01,9.84715182e+00,9.90692672e+00,9.70873071e+00,9.96500563e+00,9.91084862e+00
4.00000000e-02,9.94657108e+00,9.97170561e+00,1.00671171e+01,1.00573525e+01,9.87029401e+00,1.01279614e+01,1.00894362e+01,9.83222247e+00,9.91346164e+00,9.69290985e+00,9.96648821e+00,9.89985207e+00
4.10000000e-02,9.97819592e+00,9.97051233e+00,1.00519665e+01,1.00918979e+01,9.90472514e+00,1.01205893e+01,1.00749559e+01,9.81706644e+00,9.91655979e+00,9.67730167e+00,9.96885714e+00,9.88895478e+00
4.20000000e-02,1.00087615e+01,9.97885710e+00,1.00390789e+01,1.01134584e+01,9.89265256e+00,1.01154357e+01,1.00272877e+01,9.80180971e+00,9.91879046e+00,9.66211731e+00,9.97186163e+00,9.87767448e+00
4.30000000e-02,1.00037326e+01,9.96841131e+00,1.00328325e+01,1.00651804e+01,9.87871730e+00,1.01075634e+01,1.00198606e+01,9.78664955e+00,9.92181515e+00,9.64745489e+00,9.97446858e+00,9.86574053e+00
4.40000000e-02,1.00054369e+01,9.95268484e+00,1.00265790e+01,1.00503691e+01,9.88097482e+00,1.01003496e+01,1.00079186e+01,9.77184793e+00,9.92062501e+00,9.63308639e+00,9.97595253e+00,9.85348681e+00
4.50000000e-02,1.00426459e+01,9.97179406e+00,1.00221230e+01,1.00439123e+01,9.88827293e+00,1.00917325e+01,9.99834953e+00,9.75745656e+00,9.95356525e+00,9.61861224e+00,9.97690007e+00,9.84232446e+00
