time_s,AorticArchI,ThoAortaIII,AbdomAortaV,RightCCA,RightRenal,RightCommonIliac,RightICA,RightRadial,RightInternalIliac,RightPostInteross,RightFemoralII,RightAntTibial
2.20000000e-02,3.10318396e+01,2.13405884e+01,6.87461108e+00,3.17779316e+00,2.74303633e+00,2.53310789e+00,1.19547985e+00,1.96871172e-02,1.03910496e+00,1.54067438e-02,3.52530810e-01,-1.81818867e-05
2.30000000e-02,3.89098945e+01,2.17010949e+01,6.89455682e+00,2.98764704e+00,2.90467245e+00,2.45370764e+00,1.24531449e+00,3.63365003e-02,1.25705275e+00,1.73378416e-02,3.18116852e-01,3.29052845e-04
2.40000000e-02,4.59238818e+01,2.18436808e+01,7.20546121e+00,3.02404336e+00,3.08139560e+00,2.55428116e+00,1.29462310e+00,4.96232973e-02,1.52814172e+00,2.13695841e-02,2.92493340e-01,5.63223887e-04
2.50000000e-02,4.75229727e+01,2.25344966e+01,8.93190351e+00,3.77691381e+00,3.25037516e+00,2.72127251e+00,1.31663851e+00,5.91918719e-02,1.61354151e+00,2.69997405e-02,3.11453148e-01,1.64656070e-04
2.60000000e-02,4.95768569e+01,2.27322873e+01,9.05046852e+00,4.15709975e+00,3.18779916e+00,2.79011082e+00,1.35900379e+00,6.79342974e-02,1.70042845e+00,3.19656147e-02,3.88162440e-01,-8.47043165e-04
2.70000000e-02,5.22979759e+01,2.12839431e+01,8.83539465e+00,4.23541149e+00,3.17130595e+00,2.85814463e+00,1.38911166e+00,7.87404625e-02,1.77209837e+00,3.52315951e-02,5.06469639e-01,-1.41771626e-03
2.80000000e-02,4.98086403e+01,2.07850305e+01,8.76178596e+00,4.24544893e+00,3.29262233e+00,2.93005858e+00,1.34294520e+00,9.23357120e-02,1.83152368e+00,3.72001560e-02,6.37424242e-01,2.54538964e-04
2.90000000e-02,4.49597340e+01,2.09786937e+01,8.65707351e+00,4.47830085e+00,3.39453883e+00,3.16901380e+00,1.58842821e+00,1.07483622e-01,1.91457693e+00,3.84981895e-02,7.59908852e-01,5.76394275e-03
3.00000000e-02,4.45454068e+01,2.07867006e+01,8.59541643e+00,5.20287921e+00,3.50185427e+00,3.65837678e+00,2.06316312e+00,1.22475794e-01,1.99876038e+00,3.96419238e-02,8.68210424e-01,1.55282177e-02
3.10000000e-02,4.97057324e+01,2.17917690e+01,8.53355622e+00,5.22691244e+00,3.63720548e+00,3.73941084e+00,2.33718855e+00,1.36304764e-01,2.08281573e+00,4.09285376e-02,9.65564829e-01,2.84568253e-02
